Activity_ID,Activity_Name,WBS_Code,Parent_Activity_ID,Area,Trade,Resource,Level
F-MEP-5000-01,Conduit Rough-In — Data Hall 1,04.01.01.01,MEP-5000,Data Hall 1,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5000-02,Conduit Rough-In — Data Hall 2,04.01.01.02,MEP-5000,Data Hall 2,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5000-03,Conduit Rough-In — Data Hall 3,04.01.01.03,MEP-5000,Data Hall 3,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5000-04,Conduit Rough-In — Data Hall 4,04.01.01.04,MEP-5000,Data Hall 4,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5000-05,Wire Pull — Data Hall 1,04.01.01.05,MEP-5000,Data Hall 1,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5000-06,Wire Pull — Data Hall 2,04.01.01.06,MEP-5000,Data Hall 2,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5000-07,Wire Pull — Data Hall 3,04.01.01.07,MEP-5000,Data Hall 3,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5000-08,Wire Pull — Data Hall 4,04.01.01.08,MEP-5000,Data Hall 4,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5000-09,Plumbing Rough-In — Data Hall 1,04.01.01.09,MEP-5000,Data Hall 1,Plumbing,PIPEFITTER,field
F-MEP-5000-10,Plumbing Rough-In — Data Hall 2,04.01.01.10,MEP-5000,Data Hall 2,Plumbing,PIPEFITTER,field
F-MEP-5000-11,Plumbing Rough-In — Data Hall 3,04.01.01.11,MEP-5000,Data Hall 3,Plumbing,PIPEFITTER,field
F-MEP-5000-12,Plumbing Rough-In — Data Hall 4,04.01.01.12,MEP-5000,Data Hall 4,Plumbing,PIPEFITTER,field
F-MEP-5010-01,Switchgear Installation — ESR,04.01.02.01,MEP-5010,ESR,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5010-02,Wire Pull — ESR,04.01.02.02,MEP-5010,ESR,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5010-03,Grounding — ESR,04.01.02.03,MEP-5010,ESR,Electrical,ELEC_GROUND,field
F-MEP-5010-04,Lighting Rough-In — ESR,04.01.02.04,MEP-5010,ESR,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5020-01,UPS Module Setting — UPS Room,04.01.03.01,MEP-5020,UPS Room,Electrical,UPS_TECH,field
F-MEP-5020-02,Wire Pull — UPS Room,04.01.03.02,MEP-5020,UPS Room,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5020-03,Static Switch Installation — UPS Room,04.01.03.03,MEP-5020,UPS Room,Electrical,UPS_TECH,field
F-MEP-5030-01,CHW Header Piping — MER-1,04.02.01.01,MEP-5030,MER-1,Mechanical,PIPEFITTER,field
F-MEP-5030-02,CHW Header Piping — MER-2,04.02.01.02,MEP-5030,MER-2,Mechanical,PIPEFITTER,field
F-MEP-5030-03,CHW Insulation — MER-1,04.02.01.03,MEP-5030,MER-1,Mechanical,PIPEFITTER,field
F-MEP-5030-04,CHW Insulation — MER-2,04.02.01.04,MEP-5030,MER-2,Mechanical,PIPEFITTER,field
F-MEP-5030-05,Mezzanine Framing — MER-1,04.02.01.05,MEP-5030,MER-1,Steel,STEEL_ERECTOR,field
F-MEP-5030-06,Mezzanine Framing — MER-2,04.02.01.06,MEP-5030,MER-2,Steel,STEEL_ERECTOR,field
F-MEP-5030-07,Equipment Platform Fabrication — MER-1,04.02.01.07,MEP-5030,MER-1,Steel,STEEL_ERECTOR,field
F-MEP-5030-08,Equipment Platform Fabrication — MER-2,04.02.01.08,MEP-5030,MER-2,Steel,STEEL_ERECTOR,field
F-MEP-5040-01,Generator Setting — Generator Yard,04.02.02.01,MEP-5040,Generator Yard,Mechanical,RIGGING_CREW,field
F-MEP-5040-02,Conduit Rough-In — Generator Yard,04.02.02.02,MEP-5040,Generator Yard,Electrical,ELEC_JOURNEYMAN,field
F-MEP-5040-03,Grounding — Generator Yard,04.02.02.03,MEP-5040,Generator Yard,Electrical,ELEC_GROUND,field
F-MEP-5050-01,Fuel Oil Main Piping — Generator Yard,04.02.03.01,MEP-5050,Generator Yard,Mechanical,PIPEFITTER,field
F-MEP-5050-02,Day Tank Connections — Generator Yard,04.02.03.02,MEP-5050,Generator Yard,Mechanical,PIPEFITTER,field
F-MEP-5060-01,BAS Sensor Rough-In — Data Hall 1,04.02.04.01,MEP-5060,Data Hall 1,Controls,CONTROL_ENG,field
F-MEP-5060-02,BAS Sensor Rough-In — Data Hall 2,04.02.04.02,MEP-5060,Data Hall 2,Controls,CONTROL_ENG,field
F-MEP-5060-03,BAS Sensor Rough-In — Data Hall 3,04.02.04.03,MEP-5060,Data Hall 3,Controls,CONTROL_ENG,field
F-MEP-5060-04,BAS Sensor Rough-In — Data Hall 4,04.02.04.04,MEP-5060,Data Hall 4,Controls,CONTROL_ENG,field
F-MEP-5060-05,BMS Head-End Panel Install — ESR,04.02.04.05,MEP-5060,ESR,Controls,CONTROL_ENG,field
F-FP-5070-01,Sprinkler Mains — Data Hall 1,04.01.05.01,FP-5070,Data Hall 1,Fire Protection,FIRE_PROT,field
F-FP-5070-02,Sprinkler Mains — Data Hall 2,04.01.05.02,FP-5070,Data Hall 2,Fire Protection,FIRE_PROT,field
F-FP-5070-03,Sprinkler Mains — Data Hall 3,04.01.05.03,FP-5070,Data Hall 3,Fire Protection,FIRE_PROT,field
F-FP-5070-04,Sprinkler Mains — Data Hall 4,04.01.05.04,FP-5070,Data Hall 4,Fire Protection,FIRE_PROT,field
F-FP-5070-05,Sprinkler Drops — Data Hall 1,04.01.05.05,FP-5070,Data Hall 1,Fire Protection,FIRE_PROT,field
F-FP-5070-06,Sprinkler Drops — Data Hall 2,04.01.05.06,FP-5070,Data Hall 2,Fire Protection,FIRE_PROT,field
F-FP-5070-07,Sprinkler Drops — Data Hall 3,04.01.05.07,FP-5070,Data Hall 3,Fire Protection,FIRE_PROT,field
F-FP-5070-08,Sprinkler Drops — Data Hall 4,04.01.05.08,FP-5070,Data Hall 4,Fire Protection,FIRE_PROT,field
F-FP-5070-09,Suppression System — ESR,04.01.05.09,FP-5070,ESR,Fire Protection,FIRE_PROT,field
F-FP-5070-10,Suppression System — UPS Room,04.01.05.10,FP-5070,UPS Room,Fire Protection,FIRE_PROT,field
F-STR-4020-01,Ductwork — Mechanical Penthouse,03.02.03.01,STR-4020,Roof,Mechanical,HVAC_TECH,field
F-STR-4020-02,Mechanical Equipment Pad Setting — Roof,03.02.03.02,STR-4020,Roof,Mechanical,HVAC_TECH,field
F-FIT-6000-01,Raised Floor Pedestals & Stringers — Data Hall 1,05.01.01.01,FIT-6000,Data Hall 1,Finishes,CARPENTER,field
F-FIT-6000-02,Raised Floor Pedestals & Stringers — Data Hall 2,05.01.01.02,FIT-6000,Data Hall 2,Finishes,CARPENTER,field
F-FIT-6000-03,Raised Floor Pedestals & Stringers — Data Hall 3,05.01.01.03,FIT-6000,Data Hall 3,Finishes,CARPENTER,field
F-FIT-6000-04,Raised Floor Pedestals & Stringers — Data Hall 4,05.01.01.04,FIT-6000,Data Hall 4,Finishes,CARPENTER,field
F-FIT-6010-01,Cable Tray Installation — Data Hall 1,05.01.02.01,FIT-6010,Data Hall 1,Low Voltage,IT_TECH,field
F-FIT-6010-02,Cable Tray Installation — Data Hall 2,05.01.02.02,FIT-6010,Data Hall 2,Low Voltage,IT_TECH,field
F-FIT-6010-03,Cable Tray Installation — Data Hall 3,05.01.02.03,FIT-6010,Data Hall 3,Low Voltage,IT_TECH,field
F-FIT-6010-04,Cable Tray Installation — Data Hall 4,05.01.02.04,FIT-6010,Data Hall 4,Low Voltage,IT_TECH,field
F-FIT-6010-05,Overhead Busway Install — Data Hall 1,05.01.02.05,FIT-6010,Data Hall 1,Electrical,ELEC_JOURNEYMAN,field
F-FIT-6010-06,Overhead Busway Install — Data Hall 2,05.01.02.06,FIT-6010,Data Hall 2,Electrical,ELEC_JOURNEYMAN,field
F-FIT-6010-07,Overhead Busway Install — Data Hall 3,05.01.02.07,FIT-6010,Data Hall 3,Electrical,ELEC_JOURNEYMAN,field
F-FIT-6010-08,Overhead Busway Install — Data Hall 4,05.01.02.08,FIT-6010,Data Hall 4,Electrical,ELEC_JOURNEYMAN,field
F-FIT-6020-01,CRAH Unit Setting — Data Hall 1,05.01.03.01,FIT-6020,Data Hall 1,Mechanical,HVAC_TECH,field
F-FIT-6020-02,CRAH Unit Setting — Data Hall 2,05.01.03.02,FIT-6020,Data Hall 2,Mechanical,HVAC_TECH,field
F-FIT-6020-03,CRAH Unit Setting — Data Hall 3,05.01.03.03,FIT-6020,Data Hall 3,Mechanical,HVAC_TECH,field
F-FIT-6020-04,CRAH Unit Setting — Data Hall 4,05.01.03.04,FIT-6020,Data Hall 4,Mechanical,HVAC_TECH,field
F-FIT-6020-05,Ductwork — Data Hall 1,05.01.03.05,FIT-6020,Data Hall 1,Mechanical,HVAC_TECH,field
F-FIT-6020-06,Ductwork — Data Hall 2,05.01.03.06,FIT-6020,Data Hall 2,Mechanical,HVAC_TECH,field
F-FIT-6020-07,Ductwork — Data Hall 3,05.01.03.07,FIT-6020,Data Hall 3,Mechanical,HVAC_TECH,field
F-FIT-6020-08,Ductwork — Data Hall 4,05.01.03.08,FIT-6020,Data Hall 4,Mechanical,HVAC_TECH,field
F-FIT-6030-01,Hot-Aisle Containment — Data Hall 1,05.01.04.01,FIT-6030,Data Hall 1,Finishes,CARPENTER,field
F-FIT-6030-02,Hot-Aisle Containment — Data Hall 2,05.01.04.02,FIT-6030,Data Hall 2,Finishes,CARPENTER,field
F-FIT-6030-03,Hot-Aisle Containment — Data Hall 3,05.01.04.03,FIT-6030,Data Hall 3,Finishes,CARPENTER,field
F-FIT-6030-04,Hot-Aisle Containment — Data Hall 4,05.01.04.04,FIT-6030,Data Hall 4,Finishes,CARPENTER,field
F-FIT-6040-01,Fiber Backbone — Data Hall 1,05.01.05.01,FIT-6040,Data Hall 1,Low Voltage,IT_TECH,field
F-FIT-6040-02,Fiber Backbone — Data Hall 2,05.01.05.02,FIT-6040,Data Hall 2,Low Voltage,IT_TECH,field
F-FIT-6040-03,Fiber Backbone — Data Hall 3,05.01.05.03,FIT-6040,Data Hall 3,Low Voltage,IT_TECH,field
F-FIT-6040-04,Fiber Backbone — Data Hall 4,05.01.05.04,FIT-6040,Data Hall 4,Low Voltage,IT_TECH,field
F-FIT-6040-05,Patch Panel Termination — Data Hall 1,05.01.05.05,FIT-6040,Data Hall 1,Low Voltage,IT_TECH,field
F-FIT-6040-06,Patch Panel Termination — Data Hall 2,05.01.05.06,FIT-6040,Data Hall 2,Low Voltage,IT_TECH,field
F-FIT-6040-07,Patch Panel Termination — Data Hall 3,05.01.05.07,FIT-6040,Data Hall 3,Low Voltage,IT_TECH,field
F-FIT-6040-08,Patch Panel Termination — Data Hall 4,05.01.05.08,FIT-6040,Data Hall 4,Low Voltage,IT_TECH,field
